	ISO3	current_mammal_SR	rcp26_mammal_SR	rcp26_mammal_pctChange	rcp45_mammal_SR	rcp45_mammal_pctChange	rcp60_mammal_SR	rcp60_mammal_pctChange	rcp85_mammal_SR	rcp85_mammal_pctChange	current_bird_SR	rcp26_bird_SR	rcp26_bird_pctChange	rcp45_bird_SR	rcp45_bird_pctChange	rcp60_bird_SR	rcp60_bird_pctChange	rcp85_bird_SR	rcp85_bird_pctChange	current_both_SR	rcp26_both_SR	rcp26_both_pctChange	rcp45_both_SR	rc45_both_pctChange	rcp60_both_SR	rcp60_both_pctChange	rcp85_both_SR	rcp85_both_pctChange	GDP_per_capita	CO2_per_capita	Governance_score
28	CHE	141.2727273	145.1363636	2.734877735	151.0909091	6.94980695	153.3181818	8.526383526	158.7272727	12.35521236	327.0454545	322.9090909	-1.264767199	330.2272727	0.972897846	331	1.209173037	331.2727273	1.292564281	468.3181818	468.0454545	-0.058235465	481.3181818	2.775890517	484.3181818	3.416480637	490	4.629719499	79887.5182	4.31156299	1.786666667
29	CHL	57.08539945	63.42699725	11.10896632	64.67768595	13.29987453	65.4600551	14.67039861	68.20936639	19.48653605	256.9366391	277.5179063	8.010250032	282.2754821	9.861903332	284.7906336	10.84080285	294.2066116	14.505511	314.0220386	340.9449036	8.573559084	346.953168	10.48688481	350.2506887	11.53697693	362.415978	15.41100096	13792.9261	4.68737662	1.005
30	CHN	100.746278	105.2423988	4.462815766	103.7513105	2.982772724	103.5196058	2.752784317	102.2239463	1.466722447	283.0962466	300.6368211	6.195975664	299.6642902	5.852441993	298.5189767	5.447875172	298.4793458	5.433876064	383.8425246	405.87922	5.741077111	403.4156008	5.099246399	402.0385825	4.74050078	400.7032921	4.39262624	8123.1809	7.54390764	-0.306666667
31	CIV	239.552795	231.8881988	-3.199543663	227.4037267	-5.071561917	225.9006211	-5.699025099	210.4658385	-12.14219042	603.6832298	562.068323	-6.893500561	538.9192547	-10.72813886	539.3043478	-10.66434826	500.9689441	-17.01459982	843.2360248	793.9565217	-5.844093665	766.3229814	-9.121176185	765.2049689	-9.253762126	711.4347826	-15.63040932	1534.9737	0.49020605	-0.498333333
32	CMR	210.4094828	216.8318966	3.052340469	217.6594828	3.445662194	219.8922414	4.506811431	208.1982759	-1.050906484	570.1681034	544.112069	-4.569886377	539.5086207	-5.377270769	540.2758621	-5.242706703	515.362069	-9.612258938	780.5775862	760.9439655	-2.515268314	757.1681034	-2.998994997	760.1681034	-2.614664208	723.5603448	-7.304493799	1374.5142	0.31492807	-1.051666667
33	COD	197.4370245	186.0549451	-5.764916427	186.9881657	-5.292248938	184.3144548	-6.646458419	175.9450549	-10.88548089	508.7438715	471.9788673	-7.22662351	473.0650888	-7.013113033	465.419273	-8.515994178	436.9399831	-14.11395644	706.180896	658.0338123	-6.817953297	660.0532544	-6.531986613	649.7337278	-7.993301509	612.885038	-13.21132567	449.3715	0.06336919	NA
34	COG	213.0171429	210.4685714	-1.196416117	208.5428571	-2.100434573	208.6057143	-2.070926552	194.3028571	-8.785342561	540.5142857	521.1942857	-3.574373612	521.0342857	-3.60397505	514.2971429	-4.85040702	474.8342857	-12.15139021	753.5314286	731.6628571	-2.902144569	729.5771429	-3.178936512	722.9028571	-4.064670731	669.1371429	-11.1998362	1528.2447	0.63536929	-1.11
35	COL	275.7258621	278.637931	1.056146472	277.6775862	0.707849501	277.1896552	0.530887126	274.1586207	-0.56840565	907.7534483	895.8931034	-1.306560151	877.4465517	-3.338670496	873.9448276	-3.72442768	847.2	-6.67069328	1183.47931	1174.531034	-0.756099053	1155.124138	-2.395916191	1151.134483	-2.733028563	1121.358621	-5.248988226	5805.6054	1.75953717	-0.181666667
36	COM	7	6	-14.28571429	7	0	6	-14.28571429	5	-28.57142857	50	48	-4	49	-2	48	-4	46	-8	57	54	-5.263157895	56	-1.754385965	54	-5.263157895	51	-10.52631579	775.0801	0.20281412	-0.883333333
37	CPV	94.66666667	94.66666667	0	92.33333333	-2.464788732	94	-0.704225352	96	1.408450704	346.3333333	317.3333333	-8.373435996	311	-10.20211742	311	-10.20211742	298.6666667	-13.76323388	441	412	-6.575963719	403.3333333	-8.541194255	405	-8.163265306	394.6666667	-10.50642479	2997.7527	0.93340324	0.508333333
